employee_id,age,attrition,business_travel,country,city,daily_rate,department,distance_from_home,education,education_field,employee_count,employee_number,environment_satisfaction,gender,hire_date,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over_18,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager
EMP0000011,35,No,Travel_Rarely,United Kingdom,Edinburgh,877,Research & Development,16,3,Medical,1,11,1,Male,26/05/2021,84,4,1,Laboratory Technician,2,Married,26697,24270,0,Y,No,13,3,3,80,1,,5,3,5,4,0,3
EMP0000012,29,No,Travel_Rarely,Netherlands,The Hague,165,Research & Development,15,2,Life Sciences,1,12,4,Female,01/09/2017,49,2,2,Laboratory Technician,3,Single,5049,4590,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8
EMP0000013,31,No,Travel_Rarely,Italy,Venice,726,Research & Development,26,1,Life Sciences,1,13,1,Male,22/06/2021,31,3,1,Research Scientist,3,Divorced,22110,20100,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3
EMP0000014,34,No,Travel_Rarely,United Kingdom,Manchester,1460,Research & Development ,19,2,Medical,1,14,2,Male,11/05/2024,93,3,1,Laboratory Technician,4,Divorced,44418,40380,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2
EMP0000015,28,Yes,Travel_Rarely,United Kingdom,Leeds,111,Research & Development,24,3,Life Sciences,1,15,3,Male,14/09/2022,50,2,1,Laboratory Technician,3,Single,3399,3090,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3
EMP0000016,29,No,Travel_Rarely,United Kingdom,London,1506,Research & Development,21,4,Life Sciences,1,16,2,Female,10/05/2016,51,4,5,Manufacturing Director,1,Divorced,45837,41670,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8
EMP0000017,32,No,Travel_Rarely,Germany,Berlin,362,Research & Development,5,2,Life Sciences,1,17,1,Male,27/08/2020,80,4,1,Research Scientist,2,Divorced,11022,10020,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5
EMP0000018,22,No,Non-Travel,France,Marseille,1218,Research & Development,16,2,Medical,1,18,4,Male,25/09/2025,96,4,1,Laboratory Technician,4,Divorced,37059,33690,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0
EMP0000019,53,No,Travel_Rarely,Germany,Berlin,1322,SALES,2,4,Life Sciences,1,19,1,Female,27/10/2001,78,2,4,Manager,4,Married,40227,36570,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7
EMP0000020,38,No,Travel_Rarely,Germany,Frankfurt,402,Research & Development,2,3,Life Sciences,1,20,4,Male,01/08/2023,45,3,1,Research Scientist,4,Single,12243,11130,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2
EMP0000021,24,No,Non-Travel,France,Lyon,730,Research & Development,11,2,Other,1,21,1,Female,22/07/2022,96,4,5,Manufacturing Director,3,Divorced,22209,20190,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3
EMP0000022,36,Yes,Travel_Rarely,United Kingdom,Edinburgh,1321,sales,9,4,Life Sciences,1,22,3,Male,04/10/2021,82,2,1,Sales Representative,1,Single,40194,36540,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3
EMP0000023,34,No,Travel_Rarely,Germany,Hamburg,454,Research & Development ,7,4,Life Sciences,1,23,1,Female,21/05/2014,53,3,5,Research Director,2,Single,,12570,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11
EMP0000024,21,No,Travel_Rarely,Germany,Cologne,424,Research & Development,15,2,Life Sciences,1,24,3,Male,22/06/2026,96,3,1,Research Scientist,4,Single,12903,11730,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0
EMP0000025,34,Yes,Travel_Rarely,Germany,Munich,758,Research & Development,6,1,Medical,1,25,2,Male,11/08/2022,83,3,1,Research Scientist,1,Single,23067,20970,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3
EMP0000026,53,No,Travel_Rarely,Spain,Bilbao,1390,Research & Development,5,3,Other,1,26,3,Female,24/04/2012,58,3,5,Manager,3,Divorced,42306,38460,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8
EMP0000027,32,Yes,Travel_Frequently,United Kingdom,Edinburgh,1220,Research & Development,16,1,Life Sciences,1,27,2,Female,16/10/2016,72,1,1,Research Scientist,1,Single,37125,33750,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7
EMP0000028,42,No,Travel_Rarely,France,Marseille,749,S_ales,8,4,Marketing,1,28,3,Male,24/08/2017,48,3,2,Sales Executive,2,Married,22803,20730,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2
EMP0000029,44,No,Travel_Rarely,France,Marseille,517,Research & Development,7,4,Medical,1,29,1,Female,21/06/2004,42,2,3,Healthcare Representative,4,Married,15741,14310,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17
EMP0000030,46,No,Travel_Rarely,United Kingdom,Edinburgh,764,Sales ,2,4,Marketing,1,30,2,Female,22/10/2024,83,3,5,Manager,1,Single,23265,21150,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1
EMP0000031,33,No,Travel_Rarely,France,Toulouse,1002,Research & Development,2,3,Medical,1,31,3,Male,01/12/2025,78,3,1,Laboratory Technician,4,Single,30492,27720,4,Y,No,11,3,4,80,0,,3,3,1,1,0,0
EMP0000032,44,No,Travel_Rarely,United Kingdom,London,1582,Research & Development,10,4,Other,1,32,4,Male,19/11/2022,41,3,2,Healthcare Representative,4,Married,48147,43770,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3
EMP0000033,30,No,Travel_Rarely,United Kingdom,Manchester,135,Research & Development ,9,2,Medical,1,33,4,Male,16/12/2016,83,2,1,Laboratory Technician,3,Single,4125,3750,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8
EMP0000034,39,Yes,Travel_Rarely,Netherlands,Eindhoven,970,Sales ,5,3,Technical Degree,1,34,4,Male,21/10/2025,56,3,2,Sales Representative,4,Married,,26850,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0
EMP0000035,24,Yes,Travel_Rarely,Netherlands,Eindhoven,881,Research & Development,1,3,Medical,1,35,2,Male,14/01/2024,61,3,1,Research Scientist,4,Married,26829,24390,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0
EMP0000036,43,No,Travel_Rarely,Italy,Milan,1380,Research & Development,2,2,Medical,1,36,4,Female,21/10/2021,72,4,1,Research Scientist,3,Divorced,42009,38190,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4
EMP0000037,50,Yes,Travel_Rarely,Germany,Frankfurt,942,S_ales,3,2,Marketing,1,37,1,Male,01/05/2023,86,2,1,Sales Representative,3,Married,28677,26070,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2
EMP0000038,35,No,Travel_Rarely,United Kingdom,Leeds,965,S_ales,2,3,Marketing,1,38,4,Female,18/04/2024,97,3,1,Sales Representative,4,Married,29370,26700,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2
EMP0000039,36,No,Travel_Rarely,Spain,Bilbao,924,Research & Development ,5,4,Life Sciences,1,39,2,Female,12/12/2025,82,2,1,Research Scientist,1,Married,28116,25560,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0
EMP0000040,33,No,Travel_Frequently,Germany,Berlin,1237,sales,1,3,Life Sciences,1,40,3,Female,19/05/2021,42,4,2,Sales Executive,1,Married,37653,34230,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3
EMP0000041,35,No,Travel_Rarely,United Kingdom,Edinburgh,503,Research & Development,4,2,Other,1,41,3,Male,22/07/2025,75,3,1,Laboratory Technician,4,Divorced,15312,13920,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0
EMP0000042,27,No,Travel_Rarely,France,Toulouse,1345,Research & Development,2,4,Life Sciences,1,42,4,Female,13/09/2025,33,3,1,Laboratory Technician,,Divorced,,37200,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0
EMP0000043,26,Yes,Travel_Rarely,United Kingdom,Leeds,1472,Research & Development,25,3,Life Sciences,1,43,1,Male,18/12/2025,48,1,1,Laboratory Technician,3,Single,44781,40710,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1
EMP0000044,27,No,Travel_Frequently,Netherlands,Eindhoven,1078,SALES,8,3,Life Sciences,1,44,4,Male,18/02/2017,37,3,3,Sales Executive,3,Single,32802,29820,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7
EMP0000045,30,No,Travel_Frequently,Germany,Cologne,782,Research & Development,1,2,Medical,1,45,3,Female,22/04/2014,58,3,2,Laboratory Technician,4,Single,23793,21630,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7
EMP0000046,41,Yes,Travel_Rarely,France,Paris,1475,Research & Development,12,3,Technical Degree,1,46,2,Female,12/06/2004,49,3,5,Research Director,3,Married,44880,40800,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8
EMP0000047,34,No,Non-Travel,Germany,Cologne,1155,Sales ,23,4,Marketing,1,47,2,Male,16/10/2017,72,3,2,Sales Executive,3,Single,35145,31950,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7
EMP0000048,37,No,Travel_Rarely,France,Marseille,442,Research & Development ,19,2,Life Sciences,1,48,2,Male,21/03/2025,73,3,1,Research Scientist,2,Married,13464,12240,4,Y,No,21,4,1,80,0,8,1,3,47,0,0,0
EMP0000049,46,No,Travel_Frequently,France,Paris,1313,S_ales,5,4,Marketing,1,49,1,Male,10/03/2017,98,3,2,Sales Executive,4,Single,39963,36330,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8
EMP0000050,35,No,Travel_Rarely,United Kingdom,Edinburgh,1333,Research & Development,8,1,Life Sciences,1,50,4,Male,25/04/2025,36,4,1,Laboratory Technician,4,Married,40557,36870,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1
EMP0000051,48,Yes,Travel_Rarely,Netherlands,Amsterdam,679,Research & Development,1,2,Life Sciences,1,51,1,Male,04/07/2025,98,2,3,Laboratory Technician,3,Single,20658,18780,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0
EMP0000052,28,Yes,Travel_Rarely,Spain,Barcelona,1555,Research & Development,5,4,Technical Degree,1,52,3,Male,06/09/2024,50,3,1,Laboratory Technician,3,Single,47322,43020,1,Y,Yes,13,,3,80,0,2,3,2,2,2,2,2
EMP0000053,44,No,Travel_Rarely,Netherlands,Amsterdam,1614,sales,1,5,Marketing,1,53,2,Female,14/04/2022,75,3,2,Sales Executive,1,Divorced,49104,44640,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3
EMP0000054,35,No,Non-Travel,Italy,Rome,1190,Research & Development,11,2,Medical,1,54,3,Male,02/09/2022,79,2,3,Healthcare Representative,1,Married,36201,32910,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3
EMP0000055,26,No,Travel_Rarely,France,Paris,1565,SALES,23,3,Marketing,1,55,3,Female,16/04/2024,47,2,2,Sales Executive,4,Married,47619,43290,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0
EMP0000056,33,No,Travel_Frequently,Netherlands,The Hague,558,Research & Development,1,2,Life Sciences,1,56,1,Female,08/04/2011,98,3,5,Research Director,4,Single,16995,15450,1,Y,Yes,12,3,3,80,0,,1,3,15,14,8,12
EMP0000057,35,No,Travel_Frequently,United Kingdom,Manchester,925,S_ales,18,5,Life Sciences,1,57,2,Male,04/09/2017,71,3,3,Sales Executive,1,Married,28149,25590,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8
EMP0000058,35,No,Travel_Rarely,United Kingdom,Manchester,1238,Research & Development,23,4,Medical,1,58,3,Female,01/08/2024,30,3,1,Laboratory Technician,1,Married,37686,34260,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2
EMP0000059,31,No,Travel_Rarely,United Kingdom,Birmingham,710,Research & Development,7,4,Life Sciences,1,59,4,Male,25/08/2019,48,3,2,Laboratory Technician,4,Divorced,21615,19650,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7
EMP0000060,37,No,Travel_Rarely,Germany,Frankfurt,1209,Research & Development,1,4,Life Sciences,1,60,1,Male,11/01/2019,51,2,5,Manufacturing Director,3,Divorced,36795,33450,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7
EMP0000061,32,No,Travel_Rarely,Germany,Cologne,463,Research & Development,1,3,Medical,1,61,1,Male,13/05/2017,33,3,5,Manufacturing Director,4,Married,14091,12810,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8
EMP0000062,38,No,Travel_Frequently,Germany,Munich,0,Research & Development,29,5,Life Sciences,1,62,4,Female,17/02/2016,50,3,2,Laboratory Technician,4,Single,21549,19590,1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9
EMP0000063,50,No,Travel_Rarely,Italy,Naples,1072,Research & Development,7,2,Medical,1,63,2,Female,05/10/1999,43,2,5,Research Director,,Divorced,32637,29670,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8
EMP0000064,59,No,Travel_Rarely,Germany,Cologne,1556,S_ales,25,3,Life Sciences,1,64,1,Female,14/04/2005,99,3,3,Sales Executive,1,Single,47355,43050,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9
EMP0000065,36,No,Travel_Rarely,Germany,Cologne,1326,Research & Development,8,3,Technical Degree,1,65,3,Female,23/04/2009,59,3,3,Healthcare Representative,3,Divorced,40359,36690,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8
EMP0000066,55,No,Travel_Rarely,France,Nice,906,Research & Development,8,3,Medical,1,66,4,Female,20/01/2021,33,3,4,Manager,3,Divorced,27588,25080,2,Y,Yes,14,3,3,80,3,,2,3,5,0,0,2
EMP0000067,36,No,Travel_Frequently,United Kingdom,Birmingham,1296,Research & Development,11,3,Life Sciences,1,67,2,Male,02/10/2020,95,2,5,Manufacturing Director,2,Single,39435,35850,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3
EMP0000068,45,No,Travel_Rarely,Italy,Venice,1452,Research & Development,7,3,Life Sciences,1,68,2,Male,01/03/2025,59,3,3,Research Scientist,1,Divorced,44187,40170,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0
EMP0000069,35,No,Travel_Frequently,United Kingdom,Edinburgh,720,Research & Development,1,3,Medical,1,69,2,Male,18/12/2023,79,3,1,Research Scientist,1,Married,21912,19920,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2
EMP0000070,36,Yes,Travel_Rarely,Poland,Krakow,344,Research & Development,9,3,Medical,1,70,4,Male,01/09/2025,79,2,1,Research Scientist,3,Married,10494,9540,0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,0
EMP0000071,59,No,Travel_Frequently,Spain,Seville,1328,S_ales,1,1,Life Sciences,1,71,1,Female,19/09/2022,57,2,2,Sales Executive,3,Single,40425,36750,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3
EMP0000072,29,No,Travel_Rarely,United Kingdom,Birmingham,1440,Research & Development,2,3,Life Sciences,1,72,3,Male,15/04/2021,76,3,1,Research Scientist,2,Married,43824,39840,0,Y,No,23,4,4,80,1,6,3,3,5,4,0,4
EMP0000073,31,No,Travel_Rarely,United Kingdom,Manchester,1173,Research & Development,1,4,Medical,1,73,3,Male,06/06/2025,87,3,1,Research Scientist,2,Single,35706,32460,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0
EMP0000074,32,No,Travel_Rarely,Italy,Milan,594,Research & Development,1,3,Life Sciences,1,74,2,Male,03/04/2016,66,3,2,Research Scientist,2,Married,18084,16440,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9
EMP0000075,36,No,Travel_Rarely,Spain,Bilbao,143,Research & Development,6,3,Life Sciences,1,75,2,Female,24/08/2025,55,4,1,Laboratory Technician,4,Married,4356,3960,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0
EMP0000076,31,No,Travel_Rarely,Spain,Seville,809,Research & Development,8,4,Life Sciences,1,76,3,Female,09/09/2015,61,3,5,Manufacturing Director,4,Single,24618,22380,1,Y,No,23,4,4,80,0,11,2,3,11,7,1,8
EMP0000077,35,No,Travel_Rarely,Spain,Barcelona,841,Sales  ,1,4,Marketing,1,77,3,Male,08/04/2011,32,2,2,Sales Executive,1,Single,25608,23280,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8
EMP0000078,45,No,Travel_Rarely,United Kingdom,Manchester,209,Research & Development,6,4,Other,1,78,4,Male,26/06/2026,52,3,5,Research Director,1,Married,6369,5790,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,0
EMP0000079,37,No,Travel_Rarely,Germany,Frankfurt,430,Research & Development,7,4,Medical,1,79,1,Male,11/05/2021,30,3,5,Research Director,3,Single,13101,11910,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2
EMP0000080,46,No,Travel_Rarely,United Kingdom,London,1025,Human Resources,5,2,Medical,1,80,2,Male,25/06/2022,80,3,2,Human Resources,2,Divorced,31185,28350,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2
EMP0000081,30,No,Travel_Rarely,Italy,Turin,924,Research & Development,1,1,Life Sciences,1,81,4,Male,27/06/2016,55,2,2,Laboratory Technician,4,Married,28116,25560,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0
EMP0000082,35,No,Travel_Rarely,France,Paris,1316,Research & Development,1,3,Medical,1,82,2,Male,05/04/2020,30,2,1,Research Scientist,3,Single,40062,36420,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4
EMP0000083,55,No,Travel_Rarely,Germany,Berlin,120,S_ales,1,2,Life Sciences,1,83,1,Male,22/02/2025,70,3,3,Sales Executive,4,Married,3663,3330,3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0
EMP0000084,38,No,Non-Travel,United Kingdom,London,621,Research & Development ,6,3,Medical,1,84,2,Female,06/12/2013,79,1,2,Research Scientist,4,Divorced,18909,17190,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9
EMP0000085,34,No,Travel_Rarely,Germany,Cologne,1250,Research & Development,1,2,Medical,1,85,1,Male,23/06/2021,94,3,5,Manufacturing Director,2,Married,38049,34590,1,Y,No,15,3,3,80,0,5,2,3,5,2,1,3
EMP0000086,56,No,Travel_Rarely,Germany,Frankfurt,1518,Research & Development,7,3,Life Sciences,1,86,4,Male,19/07/2020,49,1,5,Manufacturing Director,4,Single,46200,42000,4,Y,No,11,3,1,80,0,37,3,2,6,4,0,2
EMP0000087,23,No,Travel_Rarely,Spain,Valencia,586,sales,2,1,Technical Degree,1,87,3,Male,03/06/2026,62,3,1,Sales Representative,1,Divorced,17853,16230,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0
EMP0000088,51,No,Travel_Rarely,France,Paris,468,Research & Development,9,4,Life Sciences,1,88,4,Male,16/02/2022,96,3,1,Laboratory Technician,4,Married,25000,12960,3,Y,No,23,4,2,80,2,1,4,3,1,2,0,3
EMP0000089,30,No,Travel_Rarely,Italy,Milan,312,Research & Development,2,3,Life Sciences,1,89,3,Male,19/05/2015,99,2,2,Healthcare Representative,4,Married,9504,8640,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8
EMP0000090,46,Yes,Travel_Rarely,France,Lyon,725,SALES ,9,2,Medical,1,90,3,Male,19/02/2017,64,2,3,Sales Executive,4,Single,22077,20070,1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7
EMP0000091,40,No,Travel_Frequently,United Kingdom,Manchester,574,Research & Development,1,4,Life Sciences,1,91,3,Male,14/06/2004,78,2,4,Healthcare Representative,,Married,,15900,1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11
EMP0000092,51,No,Travel_Rarely,Spain,Bilbao,685,sales,21,4,Marketing,1,92,3,Male,16/01/2016,71,3,2,Sales Executive,4,Single,20856,18960,0,Y,Yes,22,4,4,80,0,11,2,1,10,7,1,0
EMP0000093,30,No,Travel_Rarely,Spain,Barcelona,1447,SALES,4,2,Medical,1,93,3,Female,24/06/2015,63,2,2,Sales Executive,2,Divorced,44022,40020,1,Y,Yes,12,3,2,80,3,11,4,2,11,8,2,7
EMP0000094,46,No,Travel_Frequently,France,Lyon,692,Research & Development,1,3,Medical,1,94,3,Male,21/11/2016,40,2,3,Healthcare Representative,1,Married,21054,19140,2,Y,Yes,13,3,3,80,1,21,5,2,10,9,9,5
EMP0000095,32,No,Travel_Rarely,Spain,Bilbao,1185,SALES,6,4,Medical,1,95,2,Male,14/05/2015,87,3,2,Sales Executive,3,Single,36069,32790,1,Y,No,16,3,1,80,0,12,0,3,11,8,5,7
EMP0000096,54,No,Travel_Rarely,France,Nice,1320,Research & Development,2,4,Technical Degree,1,96,1,Female,16/03/2022,60,3,5,Research Director,3,Married,40161,36510,9,Y,No,12,3,1,80,1,16,5,1,4,3,0,3
EMP0000097,24,No,Travel_Rarely,France,Toulouse,1467,S_ales,3,2,Other,1,97,1,Female,18/07/2023,33,3,2,Sales Executive,3,Married,44649,40590,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2
EMP0000098,28,No,Non-Travel,Germany,Munich,130,SALES,4,3,Medical,1,98,2,Male,08/11/2021,43,3,2,Sales Executive,3,Married,3960,3600,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4
EMP0000099,58,No,Travel_Rarely,United Kingdom,Manchester,739,Sales ,10,4,Medical,1,99,4,Male,18/11/1989,37,3,4,Sales Executive,3,Single,22506,20460,0,Y,No,13,3,3,80,0,38,1,2,37,10,1,8
EMP0000100,44,No,Non-Travel,United Kingdom,Edinburgh,530,Research & Development,23,3,Medical,1,100,2,Male,23/08/2023,67,3,2,Laboratory Technician,2,Married,16137,14670,4,Y,No,12,3,3,80,1,17,3,4,3,2,1,2
EMP0000101,37,Yes,Travel_Rarely,United Kingdom,London,875,Human Resources,6,4,Human Resources,1,101,3,Male,28/10/2023,63,3,1,Human Resources,1,Divorced,-26631,24210,4,Y,Yes,22,4,4,80,0,7,3,3,3,2,0,2
EMP0000102,32,No,Travel_Rarely,France,Lyon,897,Research & Development,1,1,Life Sciences,1,102,4,Male,19/07/2025,71,3,1,Research Scientist,1,Single,27291,24810,1,Y,No,13,3,4,80,0,1,2,3,1,0,0,0
EMP0000103,20,Yes,Travel_Frequently,Germany,Berlin,944,Research & Development,6,3,Life Sciences,1,103,4,Female,06/06/2025,66,2,1,Laboratory Technician,4,Single,28743,26130,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0
EMP0000104,34,No,Travel_Rarely,France,Lyon,721,Research & Development ,6,4,Other,1,104,1,Female,21/06/2010,41,3,2,Research Scientist,3,Single,21945,19950,1,Y,No,14,3,3,80,0,16,3,3,16,13,2,10
EMP0000105,37,No,Non-Travel,Netherlands,Utrecht,1128,Research & Development,2,2,Life Sciences,1,105,3,Male,01/07/2025,100,2,2,Healthcare Representative,4,Divorced,34320,31200,5,Y,No,14,3,4,80,1,17,2,4,1,0,0,0
EMP0000106,59,No,Non-Travel,United Kingdom,Birmingham,1540,Human Resources,2,4,Human Resources,1,106,3,Female,10/01/2023,32,2,5,Manager,4,Married,46860,42600,9,Y,No,21,4,4,80,1,30,3,3,3,2,2,2
EMP0000107,50,No,Travel_Frequently,Germany,Hamburg,1209,Research & Development,1,3,Life Sciences,1,107,1,Female,05/08/2018,73,3,5,Research Director,2,Married,36795,33450,3,Y,Yes,19,,1,80,0,28,1,2,8,3,0,7
EMP0000108,25,Yes,Travel_Rarely,Spain,Barcelona,260,Sales ,5,3,Marketing,1,108,3,Male,27/05/2020,46,2,2,Sales Executive,3,Single,7920,7200,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3
EMP0000109,25,No,Travel_Rarely,United Kingdom,Leeds,1388,Research & Development,7,1,Medical,1,109,4,Male,25/08/2024,64,2,1,Research Scientist,4,Married,42240,38400,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1
EMP0000110,22,No,Travel_Rarely,United Kingdom,Leeds,579,Research & Development,15,3,Medical,1,110,2,Female,02/09/2026,59,3,1,Laboratory Technician,4,Single,17622,16020,1,Y,No,15,3,3,80,0,1,5,3,0,0,0,0
EMP0000111,51,No,Travel_Frequently,Germany,Berlin,1579,Research & Development,1,4,Medical,1,111,1,Female,28/10/2013,30,2,3,Healthcare Representative,1,Single,48048,43680,3,Y,No,20,4,3,80,0,23,1,2,13,12,12,8
EMP0000112,34,Yes,Travel_Frequently,United Kingdom,Leeds,713,Research & Development,7,3,Life Sciences,1,112,1,Male,11/08/2017,66,1,2,Laboratory Technician,3,Single,21714,19740,1,Y,Yes,24,4,4,80,0,9,3,3,9,7,0,6
