"age","gender","marital_status","over18","attrition","business_travel","distance_from_home","department","job_role","job_level","employee_number","employee_count","monthly_income","monthly_rate","daily_rate","hourly_rate","percent_salary_hike","stock_option_level","education","education_field","training_times_last_year","environment_satisfaction","job_involvement","job_satisfaction","performance_rating","relationship_satisfaction","work_life_balance","num_companies_worked","total_working_years","years_at_company","years_in_current_role","years_since_last_promotion","years_with_curr_manager","over_time","standard_hours"
35,Male,Divorced,Y,No,Travel_Rarely,4,Research & Development,Laboratory Technician,1,53,1,1951,10910,464,75,12,1,2,Other,3,3,3,4,3,3,3,1,1,1,0,0,0,No,80
27,Female,Divorced,Y,No,Travel_Rarely,2,Research & Development,Laboratory Technician,1,54,1,2341,19715,1240,33,13,1,4,Life Sciences,6,4,3,1,3,4,3,1,1,1,0,0,0,No,80
26,Male,Single,Y,Yes,Travel_Rarely,25,Research & Development,Laboratory Technician,1,55,1,2293,10558,1357,48,12,0,3,Life Sciences,2,1,1,3,3,3,2,1,1,1,0,0,1,No,80
27,Male,Single,Y,No,Travel_Frequently,8,Sales,Sales Executive,3,56,1,8726,2975,994,37,15,0,3,Life Sciences,0,4,3,3,3,4,3,1,9,9,8,1,7,No,80
30,Female,Single,Y,No,Travel_Frequently,1,Research & Development,Laboratory Technician,2,57,1,4011,10781,721,58,23,0,2,Medical,2,3,3,4,4,4,3,1,12,12,8,3,7,No,80
41,Female,Married,Y,Yes,Travel_Rarely,12,Research & Development,Research Director,5,58,1,19545,16280,1360,49,12,0,3,Technical Degree,0,2,3,3,3,4,3,1,23,22,15,15,8,No,80
34,Male,Single,Y,No,Non-Travel,23,Sales,Sales Executive,2,60,1,4568,10034,1065,72,20,0,4,Marketing,2,2,3,3,4,3,3,0,10,9,5,8,7,No,80
37,Male,Married,Y,No,Travel_Rarely,19,Research & Development,Research Scientist,1,61,1,3022,10227,408,73,21,0,2,Life Sciences,1,2,3,2,4,1,3,4,8,1,0,0,0,No,80
46,Male,Single,Y,No,Travel_Frequently,5,Sales,Sales Executive,2,62,1,5772,20445,1211,98,21,0,4,Marketing,4,1,3,4,4,3,3,4,14,9,6,0,8,Yes,80
35,Male,Married,Y,No,Travel_Rarely,8,Research & Development,Laboratory Technician,1,63,1,2269,4892,1229,36,19,0,1,Life Sciences,2,4,4,4,3,4,3,1,1,1,0,0,1,No,80
48,Male,Single,Y,Yes,Travel_Rarely,1,Research & Development,Laboratory Technician,3,64,1,5381,19294,626,98,13,0,2,Life Sciences,2,1,2,3,3,4,3,9,23,1,0,0,0,Yes,80
28,Male,Single,Y,Yes,Travel_Rarely,5,Research & Development,Laboratory Technician,1,65,1,3441,11179,1434,50,13,0,4,Technical Degree,3,3,3,3,3,3,2,1,2,2,2,2,2,Yes,80
44,Female,Divorced,Y,No,Travel_Rarely,1,Sales,Sales Executive,2,68,1,5454,4009,1488,75,21,1,5,Marketing,2,2,3,1,4,3,2,5,9,4,3,1,3,Yes,80
35,Male,Married,Y,No,Non-Travel,11,Research & Development,Healthcare Representative,3,70,1,9884,8302,1097,79,13,1,2,Medical,3,3,2,1,3,3,3,2,10,4,0,2,3,Yes,80
26,Female,Married,Y,No,Travel_Rarely,23,Sales,Sales Executive,2,72,1,4157,21436,1443,47,19,1,3,Marketing,2,3,2,4,3,3,2,7,5,2,2,0,0,Yes,80
33,Female,Single,Y,No,Travel_Frequently,1,Research & Development,Research Director,3,73,1,13458,15146,515,98,12,0,2,Life Sciences,1,1,3,4,3,3,3,1,15,15,14,8,12,Yes,80
35,Male,Married,Y,No,Travel_Frequently,18,Sales,Sales Executive,3,74,1,9069,11031,853,71,22,1,5,Life Sciences,3,2,3,1,4,4,2,1,9,9,8,1,8,No,80
35,Female,Married,Y,No,Travel_Rarely,23,Research & Development,Laboratory Technician,1,75,1,4014,16002,1142,30,15,1,4,Medical,3,3,3,1,3,3,3,3,4,2,2,2,2,Yes,80
31,Male,Divorced,Y,No,Travel_Rarely,7,Research & Development,Laboratory Technician,2,76,1,5915,9528,655,48,22,1,4,Life Sciences,3,4,3,4,4,4,2,3,10,7,7,1,7,No,80
37,Male,Divorced,Y,No,Travel_Rarely,1,Research & Development,Manufacturing Director,2,77,1,5993,2689,1115,51,18,1,4,Life Sciences,2,1,2,3,3,3,4,1,7,7,5,0,7,No,80
32,Male,Married,Y,No,Travel_Rarely,1,Research & Development,Manufacturing Director,2,78,1,6162,10877,427,33,22,1,3,Medical,3,1,3,4,4,2,3,1,9,9,8,7,8,Yes,80
38,Female,Single,Y,No,Travel_Frequently,29,Research & Development,Laboratory Technician,2,79,1,2406,5456,653,50,11,0,5,Life Sciences,2,4,3,4,3,4,3,1,10,10,3,9,9,No,80
50,Female,Divorced,Y,No,Travel_Rarely,7,Research & Development,Research Director,5,80,1,18740,16701,989,43,12,1,2,Medical,2,2,2,3,3,4,2,5,29,27,3,13,8,Yes,80
59,Female,Single,Y,No,Travel_Rarely,25,Sales,Sales Executive,3,81,1,7637,2354,1435,99,11,0,3,Life Sciences,3,1,3,1,3,4,2,7,28,21,16,7,9,No,80
36,Female,Divorced,Y,No,Travel_Rarely,8,Research & Development,Healthcare Representative,3,83,1,10096,8202,1223,59,13,3,3,Technical Degree,2,3,3,3,3,2,3,1,17,17,14,12,8,No,80
55,Female,Divorced,Y,No,Travel_Rarely,8,Research & Development,Manager,4,84,1,14756,19730,836,33,14,3,3,Medical,2,4,3,3,3,3,3,2,21,5,0,0,2,Yes,80
36,Male,Single,Y,No,Travel_Frequently,11,Research & Development,Manufacturing Director,2,85,1,6499,22656,1195,95,13,0,3,Life Sciences,3,2,2,2,3,3,3,1,6,6,5,0,3,No,80
45,Male,Divorced,Y,No,Travel_Rarely,7,Research & Development,Research Scientist,3,86,1,9724,18787,1339,59,17,1,3,Life Sciences,2,2,3,1,3,3,3,2,25,1,0,0,0,No,80
35,Male,Married,Y,No,Travel_Frequently,1,Research & Development,Research Scientist,1,88,1,2194,5868,664,79,13,1,3,Medical,2,2,3,1,3,4,2,4,5,3,2,1,2,No,80
36,Male,Married,Y,Yes,Travel_Rarely,9,Research & Development,Research Scientist,1,90,1,3388,21777,318,79,17,1,3,Medical,0,4,2,3,3,1,2,0,2,1,0,0,0,Yes,80
59,Female,Single,Y,No,Travel_Frequently,1,Sales,Sales Executive,2,91,1,5473,24668,1225,57,11,0,1,Life Sciences,2,1,2,3,3,4,2,7,20,4,3,1,3,No,80
29,Male,Married,Y,No,Travel_Rarely,2,Research & Development,Research Scientist,1,94,1,2703,4956,1328,76,23,1,3,Life Sciences,3,3,3,2,4,4,3,0,6,5,4,0,4,No,80
31,Male,Single,Y,No,Travel_Rarely,1,Research & Development,Research Scientist,1,95,1,2501,18775,1082,87,17,0,4,Medical,4,3,3,2,3,2,3,1,1,1,1,1,0,No,80
32,Male,Married,Y,No,Travel_Rarely,1,Research & Development,Research Scientist,2,96,1,6220,7346,548,66,17,2,3,Life Sciences,3,2,3,2,3,2,3,1,10,10,4,0,9,No,80
36,Female,Married,Y,No,Travel_Rarely,6,Research & Development,Laboratory Technician,1,97,1,3038,22002,132,55,12,0,3,Life Sciences,3,2,4,4,3,2,3,3,5,1,0,0,0,No,80
31,Female,Single,Y,No,Travel_Rarely,8,Research & Development,Manufacturing Director,2,98,1,4424,20682,746,61,23,0,4,Life Sciences,2,3,3,4,4,4,3,1,11,11,7,1,8,No,80
35,Male,Single,Y,No,Travel_Rarely,1,Sales,Sales Executive,2,100,1,4312,23016,776,32,14,0,4,Marketing,2,3,2,1,3,2,3,0,16,15,13,2,8,No,80
45,Male,Married,Y,No,Travel_Rarely,6,Research & Development,Research Director,3,101,1,13245,15067,193,52,14,0,4,Other,3,4,3,1,3,2,4,4,17,0,0,0,0,Yes,80
37,Male,Single,Y,No,Travel_Rarely,7,Research & Development,Research Director,3,102,1,13664,25258,397,30,13,0,4,Medical,3,1,3,3,3,1,4,4,16,5,2,0,2,No,80
46,Male,Divorced,Y,No,Travel_Rarely,5,Human Resources,Human Resources,2,103,1,5021,10425,945,80,22,1,2,Medical,2,2,3,2,4,4,3,8,16,4,2,0,2,Yes,80
30,Male,Married,Y,No,Travel_Rarely,1,Research & Development,Laboratory Technician,2,104,1,5126,15998,852,55,12,2,1,Life Sciences,1,4,2,4,3,3,2,1,10,10,8,3,0,Yes,80
35,Male,Single,Y,No,Travel_Rarely,1,Research & Development,Research Scientist,1,105,1,2859,26278,1214,30,18,0,3,Medical,3,2,2,3,3,1,3,1,6,6,4,0,4,No,80
55,Male,Married,Y,No,Travel_Rarely,1,Sales,Sales Executive,3,106,1,10239,18092,111,70,14,1,2,Life Sciences,4,1,3,4,3,4,3,3,24,1,0,1,0,No,80
38,Female,Divorced,Y,No,Non-Travel,6,Research & Development,Research Scientist,2,107,1,5329,15717,573,79,12,3,3,Medical,3,2,1,4,3,4,3,7,17,13,11,1,9,Yes,80
34,Male,Married,Y,No,Travel_Rarely,1,Research & Development,Manufacturing Director,2,110,1,4325,17736,1153,94,15,0,2,Medical,2,1,3,2,3,3,3,1,5,5,2,1,3,No,80
56,Male,Single,Y,No,Travel_Rarely,7,Research & Development,Manufacturing Director,3,112,1,7260,21698,1400,49,11,0,3,Life Sciences,3,4,1,4,3,1,2,4,37,6,4,0,2,No,80
23,Male,Divorced,Y,No,Travel_Rarely,2,Sales,Sales Representative,1,113,1,2322,9518,541,62,13,1,1,Technical Degree,3,3,3,1,3,3,3,3,3,0,0,0,0,No,80
51,Male,Married,Y,No,Travel_Rarely,9,Research & Development,Laboratory Technician,1,116,1,2075,18725,432,96,23,2,4,Life Sciences,4,4,3,4,4,2,3,3,10,4,2,0,3,No,80
30,Male,Married,Y,No,Travel_Rarely,2,Research & Development,Healthcare Representative,2,117,1,4152,15830,288,99,19,3,3,Life Sciences,3,3,2,4,3,1,3,1,11,11,10,10,8,No,80
46,Male,Single,Y,Yes,Travel_Rarely,9,Sales,Sales Executive,3,118,1,9619,13596,669,64,16,0,2,Medical,3,3,2,4,3,4,3,1,9,9,8,4,7,No,80
40,Male,Married,Y,No,Travel_Frequently,1,Research & Development,Healthcare Representative,4,119,1,13503,14115,530,78,22,1,4,Life Sciences,3,3,2,2,4,4,2,1,22,22,3,11,11,No,80
51,Male,Single,Y,No,Travel_Rarely,21,Sales,Sales Executive,2,120,1,5441,8423,632,71,22,0,4,Marketing,2,3,3,4,4,4,1,0,11,10,7,1,0,Yes,80
30,Female,Divorced,Y,No,Travel_Rarely,4,Sales,Sales Executive,2,121,1,5209,19760,1334,63,12,3,2,Medical,4,3,2,2,3,2,2,1,11,11,8,2,7,Yes,80
46,Male,Married,Y,No,Travel_Frequently,1,Research & Development,Healthcare Representative,3,124,1,10673,3142,638,40,13,1,3,Medical,5,3,2,1,3,3,2,2,21,10,9,9,5,Yes,80
32,Male,Single,Y,No,Travel_Rarely,6,Sales,Sales Executive,2,125,1,5010,24301,1093,87,16,0,4,Medical,0,2,3,3,3,1,3,1,12,11,8,5,7,No,80
54,Female,Married,Y,No,Travel_Rarely,2,Research & Development,Research Director,3,126,1,13549,24001,1217,60,12,1,4,Technical Degree,5,1,3,3,3,1,1,9,16,4,3,0,3,No,80
24,Female,Married,Y,No,Travel_Rarely,3,Sales,Sales Executive,2,128,1,4999,17519,1353,33,21,1,2,Other,2,1,3,3,4,1,2,0,4,3,2,0,2,No,80
28,Male,Married,Y,No,Non-Travel,4,Sales,Sales Executive,2,129,1,4221,8863,120,43,15,0,3,Medical,3,2,3,3,3,2,4,1,5,5,4,0,4,No,80
58,Male,Single,Y,No,Travel_Rarely,10,Sales,Sales Executive,4,131,1,13872,24409,682,37,13,0,4,Medical,1,4,3,3,3,3,2,0,38,37,10,1,8,No,80
44,Male,Married,Y,No,Non-Travel,23,Research & Development,Laboratory Technician,2,132,1,2042,25043,489,67,12,1,3,Medical,3,2,3,2,3,3,4,4,17,3,2,1,2,No,80
37,Male,Divorced,Y,Yes,Travel_Rarely,6,Human Resources,Human Resources,1,133,1,2073,23648,807,63,22,0,4,Human Resources,3,3,3,1,4,4,3,4,7,3,2,0,2,Yes,80
32,Male,Single,Y,No,Travel_Rarely,1,Research & Development,Research Scientist,1,134,1,2956,15178,827,71,13,0,1,Life Sciences,2,4,3,1,3,4,3,1,1,1,0,0,0,No,80
20,Female,Single,Y,Yes,Travel_Frequently,6,Research & Development,Laboratory Technician,1,137,1,2926,19783,871,66,18,0,3,Life Sciences,5,4,2,4,3,2,3,1,1,1,0,1,0,Yes,80
34,Female,Single,Y,No,Travel_Rarely,6,Research & Development,Research Scientist,2,138,1,4809,12482,665,41,14,0,4,Other,3,1,3,3,3,3,3,1,16,16,13,2,10,No,80
37,Male,Divorced,Y,No,Non-Travel,2,Research & Development,Healthcare Representative,2,139,1,5163,15850,1040,100,14,1,2,Life Sciences,2,3,2,4,3,4,4,5,17,1,0,0,0,No,80
59,Female,Married,Y,No,Non-Travel,2,Human Resources,Manager,5,140,1,18844,21922,1420,32,21,1,4,Human Resources,3,3,2,4,4,4,3,9,30,3,2,2,2,No,80
50,Female,Married,Y,No,Travel_Frequently,1,Research & Development,Research Director,5,141,1,18172,9755,1115,73,19,0,3,Life Sciences,1,1,3,2,3,1,2,3,28,8,3,0,7,Yes,80
25,Male,Single,Y,Yes,Travel_Rarely,5,Sales,Sales Executive,2,142,1,5744,26959,240,46,11,0,3,Marketing,1,3,2,3,3,4,3,1,6,6,4,0,3,Yes,80
25,Male,Married,Y,No,Travel_Rarely,7,Research & Development,Research Scientist,1,143,1,2889,26897,1280,64,11,2,1,Medical,2,4,2,4,3,3,3,1,2,2,2,2,1,No,80
22,Female,Single,Y,No,Travel_Rarely,15,Research & Development,Laboratory Technician,1,144,1,2871,23785,534,59,15,0,3,Medical,5,2,3,4,3,3,3,1,1,0,0,0,0,No,80
51,Female,Single,Y,No,Travel_Frequently,1,Research & Development,Healthcare Representative,3,145,1,7484,25796,1456,30,20,0,4,Medical,1,1,2,1,4,3,2,3,23,13,12,12,8,No,80
34,Male,Single,Y,Yes,Travel_Frequently,7,Research & Development,Laboratory Technician,2,147,1,6074,22887,658,66,24,0,3,Life Sciences,3,1,1,3,4,4,3,1,9,9,7,0,6,Yes,80
54,Female,Single,Y,No,Non-Travel,26,Human Resources,Manager,4,148,1,17328,13871,142,30,12,0,3,Human Resources,3,4,4,4,3,3,3,2,23,5,3,4,4,Yes,80
24,Male,Married,Y,No,Travel_Rarely,18,Research & Development,Laboratory Technician,1,150,1,2774,13257,1127,52,12,1,1,Life Sciences,2,2,3,3,3,3,3,0,6,5,3,1,2,No,80
34,Female,Divorced,Y,No,Travel_Rarely,6,Research & Development,Research Scientist,2,151,1,4505,15000,1031,45,15,1,4,Life Sciences,3,3,2,2,3,3,3,6,12,1,0,0,0,No,80
37,Male,Single,Y,No,Travel_Rarely,3,Sales,Sales Executive,3,152,1,7428,14506,1189,87,12,0,3,Life Sciences,3,3,3,4,3,1,3,2,12,5,3,1,3,No,80
34,Female,Single,Y,No,Travel_Rarely,5,Research & Development,Manager,3,153,1,11631,5615,1354,45,12,0,3,Medical,6,3,2,1,3,4,3,2,14,11,10,5,8,No,80
36,Female,Married,Y,No,Travel_Frequently,11,Sales,Sales Executive,3,154,1,9738,22952,1467,92,14,1,2,Technical Degree,6,2,3,4,3,3,3,0,10,9,7,2,8,No,80
36,Female,Divorced,Y,No,Travel_Rarely,3,Research & Development,Laboratory Technician,1,155,1,2835,2561,922,39,22,1,2,Life Sciences,2,1,3,4,4,1,3,5,7,1,0,0,0,No,80
43,Male,Married,Y,No,Travel_Frequently,26,Sales,Manager,4,158,1,16959,19494,394,92,12,2,2,Life Sciences,3,3,3,4,3,4,4,1,25,25,12,4,12,Yes,80
30,Male,Divorced,Y,No,Travel_Frequently,23,Research & Development,Research Scientist,1,159,1,2613,22310,1312,96,25,3,3,Life Sciences,2,1,1,3,4,3,2,1,10,10,7,0,9,No,80
33,Male,Married,Y,No,Non-Travel,22,Sales,Sales Executive,2,160,1,6146,15480,750,95,13,1,2,Marketing,2,3,3,2,3,1,4,0,8,7,7,0,7,No,80
56,Female,Married,Y,Yes,Travel_Rarely,14,Research & Development,Research Scientist,1,161,1,4963,4510,441,72,18,3,4,Life Sciences,2,2,3,2,3,1,3,9,7,5,4,4,3,Yes,80
51,Male,Single,Y,No,Travel_Rarely,6,Research & Development,Research Director,5,162,1,19537,6462,684,51,13,0,3,Life Sciences,5,1,3,3,3,3,3,7,23,20,18,15,15,No,80
31,Male,Married,Y,Yes,Travel_Rarely,6,Sales,Sales Executive,2,163,1,6172,20739,249,76,18,0,4,Life Sciences,3,2,1,3,3,2,2,4,12,7,7,7,7,Yes,80
26,Female,Married,Y,No,Travel_Rarely,6,Research & Development,Research Scientist,1,164,1,2368,23300,841,46,19,0,3,Other,3,3,2,2,3,3,2,1,5,5,4,4,3,No,80
58,Female,Married,Y,Yes,Travel_Rarely,23,Research & Development,Healthcare Representative,3,165,1,10312,3465,147,94,12,1,4,Medical,3,4,3,4,3,4,2,1,40,40,10,15,6,No,80
19,Male,Single,Y,Yes,Travel_Rarely,22,Sales,Sales Representative,1,167,1,1675,26820,528,50,19,0,1,Marketing,2,4,3,3,3,4,2,1,0,0,0,0,0,Yes,80
22,Male,Married,Y,No,Travel_Rarely,2,Research & Development,Laboratory Technician,1,169,1,2523,19299,594,100,14,1,1,Technical Degree,2,3,3,4,3,3,3,0,3,2,1,2,1,No,80
49,Female,Married,Y,No,Travel_Rarely,20,Research & Development,Manufacturing Director,2,170,1,6567,5549,470,96,14,0,4,Medical,2,3,3,1,3,3,2,1,16,15,11,5,11,No,80
43,Female,Single,Y,No,Travel_Frequently,28,Research & Development,Research Scientist,1,171,1,4739,16090,957,72,12,0,3,Medical,2,2,4,3,3,4,3,4,18,3,2,1,2,No,80
50,Female,Single,Y,No,Travel_Frequently,12,Sales,Sales Executive,3,174,1,9208,6645,809,77,11,0,3,Marketing,3,3,3,4,3,4,3,4,16,2,2,2,1,No,80
31,Female,Married,Y,Yes,Travel_Rarely,20,Sales,Sales Executive,2,175,1,4559,24788,542,71,11,1,3,Life Sciences,2,2,1,3,3,3,3,3,4,2,2,2,2,Yes,80
41,Male,Divorced,Y,No,Travel_Rarely,9,Sales,Sales Executive,3,176,1,8189,21196,802,96,13,1,1,Life Sciences,2,3,3,3,3,3,3,3,12,9,7,0,7,Yes,80
26,Female,Married,Y,No,Travel_Rarely,25,Human Resources,Human Resources,1,177,1,2942,8916,1355,61,23,1,1,Life Sciences,3,3,3,3,4,4,3,1,8,8,7,5,7,No,80
36,Male,Divorced,Y,No,Travel_Rarely,6,Research & Development,Manufacturing Director,2,178,1,4941,2819,216,84,20,2,2,Medical,0,2,3,2,4,4,3,6,7,3,2,0,1,No,80
51,Male,Single,Y,Yes,Travel_Frequently,8,Research & Development,Manufacturing Director,3,179,1,10650,25150,1150,53,15,0,4,Life Sciences,2,1,1,4,3,4,3,2,18,4,2,0,3,No,80
39,Female,Married,Y,No,Travel_Rarely,4,Sales,Sales Executive,2,182,1,5902,14590,1329,47,14,1,4,Life Sciences,1,4,2,3,3,3,4,4,17,15,11,5,9,No,80
25,Male,Married,Y,No,Travel_Rarely,28,Sales,Sales Executive,2,183,1,8639,24835,959,41,18,0,3,Life Sciences,3,1,2,3,3,4,3,2,6,2,2,2,2,No,80
30,Male,Married,Y,No,Travel_Rarely,9,Human Resources,Human Resources,2,184,1,6347,13982,1240,48,19,0,3,Human Resources,2,3,3,4,3,4,1,0,12,11,9,4,7,Yes,80
32,Female,Single,Y,Yes,Travel_Rarely,9,Research & Development,Laboratory Technician,1,190,1,4200,10224,1033,41,22,0,3,Medical,2,1,3,1,4,1,4,7,10,5,4,0,4,No,80
